;Title, http://www.gcdataconcepts.com, X16-2 ADXL345
;Version, 1447, Build num, 0x276, Build date, 20120709 17:23:15,  SN:CCDC20160000716
;Start_time, 2012-11-21, 14:44:44.001
;Temperature, 18.50, deg C,  Vbat, 4104, mv
;Gain, 16g
;SampleRate, 400,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
1.368,-258,-1226,1090
1.371,-562,-1146,966
1.374,-892,-1058,806
1.376,-1288,-974,684
1.379,-1740,-874,594
1.381,-2224,-762,610
1.384,-2660,-630,656
1.386,-2924,-568,750
1.389,-3034,-542,706
1.474,-56,100,-186
1.476,-40,144,-146
1.479,8,198,-46
1.481,54,240,20
1.484,112,236,58
1.486,158,164,98
1.488,232,94,134
1.490,306,64,180
1.493,410,2,254
1.495,512,-76,350
1.498,612,-156,408
1.501,712,-240,476
1.503,804,-340,518
1.506,906,-444,516
1.508,992,-558,472
1.511,1072,-674,472
1.513,1134,-810,514
1.516,1190,-960,624
1.518,1254,-1094,722
1.521,1300,-1226,800
1.524,1342,-1332,870
1.526,1398,-1462,944
1.528,1460,-1578,1028
1.530,1540,-1726,1110
1.533,1650,-1880,1212
1.535,1780,-2086,1328
1.538,1942,-2320,1490
1.540,2154,-2600,1638
1.543,2448,-2960,1818
1.545,2870,-3446,2090
1.548,3508,-4056,2302
1.551,5120,-4858,2370
1.553,7466,-6426,2156
1.556,7376,-7532,1712
1.558,5786,-6982,1254
1.561,4282,-5782,780
1.563,3264,-4688,420
1.566,2638,-4000,392
1.568,2166,-3496,662
1.570,1726,-3088,972
1.572,1394,-2798,1212
1.575,1200,-2662,1338
1.578,1204,-2694,1432
1.580,1312,-2790,1398
1.583,1396,-2786,1170
1.585,1382,-2652,918
1.588,1292,-2612,878
1.590,1254,-2756,976
1.593,1232,-3012,974
1.595,1216,-3242,818
1.598,1122,-3384,554
1.601,994,-3386,250
1.603,856,-3316,6
1.606,704,-3172,-170
1.608,538,-3012,-246
1.610,358,-2870,-280
1.612,248,-2740,-312
1.615,228,-2558,-356
1.617,312,-2370,-390
1.620,460,-2206,-410
1.622,610,-2080,-378
1.625,744,-1972,-326
1.628,830,-1914,-324
1.630,906,-1898,-356
1.633,936,-1920,-410
1.635,966,-1946,-452
1.638,954,-1946,-470
1.640,942,-1920,-456
1.643,916,-1850,-422
1.645,890,-1798,-394
1.648,864,-1720,-402
1.650,862,-1632,-486
1.652,874,-1562,-606
1.655,920,-1526,-826
1.657,1342,-1118,-958
1.660,1320,-788,-570
1.662,994,-716,372
1.665,548,-624,1394
1.667,196,-374,2026
1.670,-110,-102,3332
1.672,-418,224,4534
1.675,-602,210,5318
1.678,-754,-512,8062
1.680,3628,-1280,15146
1.683,15744,10442,11374
1.685,14898,16154,2734
1.688,6858,7228,2804
1.690,8016,-11022,8346
1.692,10012,-16206,-6258
1.694,6594,-14618,-12982
1.697,4008,-15296,-8740
1.699,-2940,-12294,-3744
1.702,-11008,-10252,86
1.705,-11616,-8144,-1100
1.707,-9426,-5676,-354
1.710,-7346,-3012,660
1.712,-5048,-1214,1180
1.715,-2806,-504,1226
1.717,-2186,-890,1200
1.720,-1954,-392,2196
1.722,-1360,-556,2928
1.725,-978,-1012,2336
1.728,-274,-1240,1392
1.730,594,-1398,500
1.732,1076,-1592,-184
1.734,1098,-1558,-430
1.737,1008,-1198,-368
1.739,954,-1064,-26
1.742,948,-1324,542
1.744,1028,-1646,940
1.747,1208,-1566,980
1.749,1376,-1652,940
1.752,1554,-2208,872
1.755,1808,-2670,670
1.757,2026,-2872,258
1.760,2206,-2812,-42
1.762,2358,-2616,86
1.765,2490,-2492,446
1.767,2530,-2448,906
1.770,2466,-2428,1444
1.772,2368,-2346,1692
1.774,2286,-2290,1526
1.776,2282,-2274,1100
1.779,2390,-2186,784
1.782,2594,-1966,686
1.784,2868,-1624,736
1.787,3174,-1360,800
1.789,3498,-1204,868
1.792,3772,-1138,894
1.794,4008,-1072,908
1.797,4114,-984,876
1.799,4138,-886,826
1.802,4134,-814,722
1.805,4170,-776,572
1.807,4270,-754,402
1.810,4394,-728,212
1.812,4520,-686,84
1.814,4638,-648,8
1.816,4734,-648,-26
1.819,4760,-612,-58
1.821,4666,-554,-116
1.824,4512,-450,-192
1.826,4308,-294,-268
1.829,4080,-104,-290
1.832,3888,60,-298
1.834,3744,226,-332
1.837,3668,400,-386
1.839,3642,570,-406
1.842,3600,820,-394
1.844,3502,1038,-324
1.847,3426,1240,-246
1.849,3218,1490,-156
1.852,2872,1736,116
1.854,2484,1820,498
1.856,2150,1818,892
1.859,1926,1808,1324
1.861,1832,1868,1740
1.864,1894,2074,2060
1.866,2116,2368,2252
