;Title, http://www.gcdataconcepts.com, X16-2 ADXL345
;Version, 1447, Build num, 0x276, Build date, 20120709 17:23:15,  SN:CCDC20160000714
;Start_time, 2012-12-21, 13:04:53.001
;Temperature, 24.25, deg C,  Vbat, 4085, mv
;Gain, 16g
;SampleRate, 400,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
1.257,2404,4098,1210
1.259,2156,3930,1364
1.262,1864,3600,1320
1.265,1514,3032,1106
1.267,1132,2254,684
1.270,850,1704,308
1.272,528,1470,252
1.275,312,1426,462
1.277,132,1478,722
1.280,8,1384,894
1.283,2,1162,934
1.284,-22,998,842
1.287,82,758,914
1.289,416,906,968
1.292,848,1516,902
1.294,1286,1898,772
1.297,1746,2074,542
1.299,2230,2396,398
1.302,2768,2636,310
1.305,3382,3186,32
1.307,4098,3584,-162
1.310,5232,3406,-486
1.312,6284,3346,-952
1.315,6452,3032,-932
1.317,5974,2358,-500
1.320,5242,1644,-258
1.322,4404,1118,-202
1.325,3644,688,-80
1.327,3050,730,-64
1.329,2712,384,30
1.332,2600,2,-112
1.334,2490,68,-342
1.337,2500,22,-334
1.339,2492,-10,-326
1.342,2526,72,-262
1.345,2594,376,-20
1.347,2636,36,-36
1.350,2692,-224,-178
1.352,2684,272,-72
1.355,2650,778,76
1.357,2584,1114,192
1.360,2556,1092,92
1.362,2514,1142,80
1.365,2508,1272,100
1.367,2480,1506,44
1.369,2418,1736,-172
1.372,2342,1840,-436
1.374,2286,1838,-644
1.377,2186,1742,-892
1.379,2146,1618,-1014
1.382,2128,1488,-992
1.385,2124,1358,-826
1.387,2132,1250,-584
1.390,2180,1150,-298
1.392,2260,1146,-34
1.395,2306,1112,204
1.397,2332,1080,400
1.400,2330,1026,556
1.402,2270,1000,670
1.405,2132,922,722
1.407,1910,802,696
1.409,1692,632,632
1.412,1478,478,574
1.414,1274,316,542
1.417,1096,150,528
1.419,944,32,546
1.422,842,-132,574
1.425,746,-228,574
1.427,644,-290,566
1.430,538,-378,530
1.432,446,-606,542
1.435,350,-850,618
1.437,288,-974,536
1.440,256,-1112,514
1.442,158,-906,480
1.445,64,-698,466
1.447,-22,-630,468
1.449,-142,-524,488
1.452,-256,-498,512
1.454,-456,-474,572
1.457,-644,-446,610
1.459,-934,-576,636
1.462,-1238,-718,620
1.464,-1548,-874,502
1.467,-1794,-1006,302
1.470,-1764,-1124,84
1.472,-1628,-1300,-70
1.475,-1512,-1396,-154
1.477,-1140,-1510,-176
1.480,-742,-1544,-78
1.482,-374,-1536,40
1.485,-114,-1412,218
1.488,100,-1256,342
1.489,240,-1078,458
1.492,332,-914,502
1.494,378,-784,564
1.497,372,-658,642
1.499,340,-534,682
1.502,308,-486,736
1.504,234,-442,702
1.507,212,-380,606
1.510,200,-388,518
1.512,192,-326,298
1.515,166,-380,166
1.517,182,-452,-10
1.520,206,-514,-22
1.522,248,-638,66
1.525,278,-672,232
1.528,278,-622,372
1.529,302,-562,460
1.532,284,-550,538
1.534,294,-474,492
1.537,346,-368,300
1.539,390,-380,104
1.542,374,-338,-86
1.544,358,-320,-216
1.547,368,-336,-280
1.550,378,-412,-252
1.552,428,-508,-138
1.555,484,-664,-4
1.557,566,-862,268
1.560,650,-1032,648
1.562,756,-1104,944
1.565,878,-1252,1254
1.567,938,-1370,1482
1.569,986,-1500,1644
1.572,1040,-1662,1736
1.574,1098,-1898,1814
1.577,1160,-2378,2008
1.579,1266,-2916,2112
1.582,1600,-3268,1796
1.584,2010,-3582,1372
1.587,2374,-4016,1040
1.590,3062,-5066,916
1.592,4684,-7086,554
1.595,5904,-8386,340
1.597,4978,-6458,700
1.600,3404,-4462,1396
1.602,2330,-3398,1942
1.605,1850,-2810,2254
1.607,1714,-2478,2342
1.610,1806,-2074,2284
1.612,2036,-1690,2084
1.614,2398,-1154,1680
1.617,2764,-584,1384
1.619,2966,-370,1340
1.622,2870,-686,1500
1.624,2490,-1438,2022
1.627,2272,-2552,2724
1.630,2444,-4266,3468
1.632,2810,-6506,4146
1.635,2834,-7978,4310
1.637,2202,-7772,3116
1.640,1170,-6426,350
1.642,354,-5516,-1898
1.645,-104,-4788,-2190
1.647,-272,-3912,-1106
1.650,-20,-3170,172
1.652,420,-2654,1152
1.654,632,-2418,1772
1.657,604,-2220,2078
1.659,572,-1908,1888
1.662,712,-1558,1126
1.664,954,-1710,436
1.667,1072,-2152,-112
1.669,1014,-2426,-460
1.672,938,-2538,-596
1.675,928,-2842,-580
1.677,910,-3054,-292
1.680,1016,-3130,-96
1.682,1560,-2864,-34
1.685,1424,-2086,406
1.687,1034,-1246,624
1.690,604,-1006,910
1.692,404,-936,1250
1.694,394,-636,1516
1.697,544,-326,1684
1.699,730,-176,1688
1.702,934,-40,1660
1.704,1214,216,1974
1.707,1618,896,2202
1.709,2096,2416,1842
1.712,3330,5648,656
1.715,9026,8916,-2104
1.717,16260,5562,-4368
1.720,15058,-4076,-788
1.722,9008,-6140,-98
1.725,4634,-7112,818
1.727,2584,-7950,1690
1.730,2980,-7960,1152
1.732,2604,-5718,-302
1.734,1500,-4282,-264
1.737,76,-4300,-678
1.739,-2168,-5638,-1174
1.742,-6120,-7172,-432
1.744,-10360,-7482,724
1.747,-12098,-5176,1564
1.749,-7348,-658,540
1.752,-2132,624,854
1.755,-344,902,1538
1.757,-138,1054,1242
1.760,-98,786,822
1.762,62,450,878
1.765,232,146,1258
1.767,384,-90,1490
1.770,548,-326,1406
1.772,750,-536,1222
1.774,1030,-818,952
1.777,1380,-1074,560
1.779,1778,-1364,284
1.782,2190,-1788,338
1.784,2510,-2192,600
1.787,2890,-2686,776
1.789,3482,-3538,668
1.792,4172,-4748,268
1.795,4266,-5690,-42
1.797,3504,-5286,88
1.800,2580,-3980,502
1.802,1954,-2874,918
1.805,1574,-2290,1208
1.807,1338,-1996,1406
1.810,1208,-1812,1600
1.812,1164,-1652,1764
1.814,1204,-1474,1830
1.817,1346,-1246,1796
1.819,1566,-1032,1638
1.822,1894,-904,1386
1.824,2326,-832,1138
1.827,2948,-780,956
1.829,3972,-600,732
1.832,5636,-142,294
1.835,7410,488,-84
1.837,7984,868,136
1.840,7282,1126,618
1.842,5912,1208,934
1.845,4652,966,802
1.847,3896,694,406
1.850,3588,624,-126
1.852,3638,694,-574
1.854,3938,840,-852
1.857,4354,958,-838
1.859,4666,1082,-524
1.862,4840,1218,-32
1.864,4914,1448,254
1.867,4882,1830,362
1.869,4790,2158,384
1.872,4774,2518,210
1.874,4782,2964,70
1.877,4724,3526,70
1.880,4540,3926,210
1.882,4200,4288,342
1.885,3850,4438,322
1.887,3510,4296,374
1.890,3210,4406,592
1.892,3008,4118,874
1.894,2920,4072,1110
1.897,2720,3770,1342
1.899,2412,3110,1542
1.902,2022,2330,1364
1.904,1536,1824,1026
1.907,1010,1460,772
1.909,540,1184,656
1.912,240,906,1098
1.914,0,1646,1238
1.917,-100,1994,1226
1.920,-104,1676,1208
1.922,-52,1504,1084
1.925,142,1716,884
1.927,438,2046,736
1.930,792,2280,650
1.932,1154,2272,606
1.935,1592,2160,446
1.936,2118,2174,258
1.939,2668,2192,56
1.942,3312,2588,-262
1.944,4010,2926,-634
1.947,4974,2896,-1064
1.949,5924,2890,-1436
1.952,6354,2670,-1384
1.954,6190,2304,-902
1.957,5580,1924,-216
1.960,4672,1550,342
1.962,3804,1370,570
1.965,3190,1262,566
1.967,2744,1424,506
1.970,2532,1264,338
1.972,2448,352,46
1.975,2384,-134,-114
1.976,2342,64,-286
1.979,2298,278,-398
1.982,2290,378,-434
1.984,2316,422,-316
1.987,2338,498,-110
1.989,2414,92,116
1.992,2418,580,216
1.994,2370,1018,300
1.999,2326,1220,332
2.001,2318,1284,294
2.003,2304,1342,174
2.006,2322,1322,-56
2.008,2328,1326,-314
2.011,2324,1386,-528
2.013,2308,1418,-728
2.016,2250,1422,-898
2.019,2182,1364,-994
2.021,2142,1298,-966
2.024,2152,1182,-840
2.026,2186,1104,-616
2.029,2240,1068,-400
2.031,2308,1050,-158
2.034,2368,1026,90
2.036,2354,998,310
2.039,2334,930,494
2.041,2308,810,624
2.043,2256,672,768
2.046,2114,522,856
2.048,1948,396,870
2.051,1740,306,798
2.053,1530,228,742
2.056,1334,132,680
2.059,1152,58,642
2.061,1038,-158,592
2.064,914,-350,602
2.066,804,-518,618
2.069,658,-584,576
2.071,512,-718,576
2.074,384,-828,596
2.076,294,-912,496
2.079,252,-824,350
2.081,164,-660,292
2.083,48,-492,344
2.086,-46,-418,396
2.088,-168,-424,502
2.091,-280,-462,580
2.093,-456,-464,620
2.096,-702,-568,694
2.099,-962,-710,702
2.101,-1278,-972,588
2.104,-1550,-1144,404
2.106,-1768,-1262,174
2.109,-1828,-1278,-54
2.111,-1638,-1472,-146
2.114,-1514,-1600,-90
2.116,-1192,-1578,-98
2.119,-768,-1540,24
2.122,-428,-1568,154
2.123,-110,-1524,280
2.126,90,-1348,386
2.128,194,-1200,400
2.131,236,-1016,442
2.133,304,-866,502
2.136,318,-682,546
2.138,364,-540,606
2.141,352,-422,640
2.144,340,-368,628
2.146,284,-298,602
2.149,270,-190,512
2.151,302,-108,374
2.154,340,-106,256
2.156,336,-138,228
2.159,296,-86,206
2.162,312,-80,206
2.163,354,-106,248
2.166,376,-162,324
2.168,434,-268,442
2.171,462,-310,512
2.173,482,-352,538
2.176,510,-456,520
2.178,512,-466,442
2.181,510,-472,290
2.184,476,-502,104
2.186,446,-708,-76
2.189,448,-920,-204
2.191,406,-924,-298
2.194,324,-1054,-226
2.196,270,-1212,46
2.199,268,-1348,358
2.202,334,-1546,742
2.203,396,-1796,1100
2.206,496,-2012,1334
2.208,544,-2020,1706
2.211,672,-2130,1912
2.213,720,-2232,2048
2.216,768,-2426,2128
2.218,774,-2658,2070
2.221,860,-3142,1988
2.224,1082,-3520,1718
2.226,1340,-3538,1248
2.229,1638,-4016,644
2.231,2060,-4804,292
2.234,2970,-6264,212
2.236,4360,-7784,616
2.239,4636,-7460,1394
2.241,3776,-5712,1996
2.244,2678,-4182,2248
2.246,1814,-3122,2398
2.248,1502,-2622,2346
2.251,1520,-2258,2062
2.253,1668,-1750,1754
2.256,2110,-1284,1250
2.258,2624,-894,988
2.261,3038,-860,1210
2.264,3126,-1274,1850
2.266,2914,-1920,2574
2.269,2728,-2830,3222
2.271,2896,-4248,3784
2.274,3120,-5960,4064
2.276,2910,-6990,3746
2.279,2202,-6742,2344
2.281,1290,-5574,-66
2.284,596,-4986,-2018
2.286,152,-4666,-2144
2.288,-34,-4078,-988
2.291,98,-3560,396
2.293,410,-3116,1360
2.296,626,-2868,1832
2.298,710,-2732,1804
2.301,830,-2648,1296
2.304,784,-2388,528
2.306,780,-2246,-294
2.309,688,-2236,-678
2.311,1060,-2642,-944
2.314,1528,-2578,-624
2.316,1238,-1872,270
2.319,788,-1356,964
2.321,382,-1268,1748
2.324,218,-1204,2366
2.326,168,-966,2940
2.328,330,-808,3106
2.331,612,-902,2854
2.333,884,-910,2852
2.336,1254,-720,3236
2.338,1870,-184,3172
2.341,2618,1732,2248
2.343,4068,5638,630
2.346,9560,8922,-2738
2.349,16296,1738,-6380
2.351,14540,-6034,-3668
2.354,7866,-5452,-1526
2.356,3886,-5062,-910
2.359,2632,-7886,3252
2.361,2740,-6936,1750
2.364,2286,-5108,468
2.366,1174,-4046,-364
2.368,-216,-3848,-1106
2.371,-2286,-4632,-1308
2.373,-5240,-6098,-556
2.376,-8446,-6802,652
2.378,-10622,-5028,1742
2.381,-7948,-698,1090
2.383,-3150,866,828
2.386,-796,1050,1130
2.389,-250,932,880
2.391,-134,514,408
2.394,106,146,578
2.396,374,-62,1216
2.399,538,-278,1726
2.401,620,-480,1840
2.404,750,-722,1658
2.406,982,-1084,1246
2.408,1330,-1528,752
2.411,1778,-2030,430
2.413,2262,-2426,314
2.416,2650,-2734,412
2.418,3116,-3318,306
2.421,3772,-4426,-110
2.423,4320,-5728,-548
2.426,4070,-6070,-482
2.429,3232,-4984,8
2.431,2526,-3550,558
2.434,2106,-2594,978
2.436,1898,-2134,1218
2.439,1778,-1894,1418
2.441,1664,-1716,1584
2.444,1610,-1560,1710
2.446,1650,-1348,1754
2.448,1826,-1130,1660
2.451,2124,-956,1450
2.453,2530,-792,1176
2.456,3088,-634,942
2.458,3988,-360,704
2.461,5430,166,420
2.463,6934,866,216
2.466,7616,1280,336
2.469,7220,1432,660
2.471,6192,1396,782
2.474,5072,1300,656
2.476,4308,1110,302
2.479,3982,860,-138
2.481,4008,692,-534
2.484,4216,632,-756
2.486,4486,762,-764
2.488,4692,914,-526
2.491,4808,1216,-184
2.493,4836,1560,212
2.496,4848,1914,422
2.498,4796,2340,504
2.501,4712,2860,542
2.503,4624,3372,550
2.506,4448,3636,618
2.509,4156,3616,966
2.511,3876,3620,1090
2.514,3576,3576,764
2.516,3332,3432,1026
2.519,3052,3816,958
2.521,2872,4330,1108
2.524,2682,5012,1260
2.526,2442,4866,1388
2.528,2156,4114,1036
2.531,1634,3062,978
2.533,1108,2514,1118
2.536,652,2408,1412
2.538,326,2372,1696
2.541,14,2326,1962
2.543,-162,2214,1972
2.546,-310,1904,1870
2.548,-332,1494,1702
2.551,-186,1362,1436
2.554,128,1126,1224
2.556,560,1232,880
2.559,1006,1326,572
2.561,1470,1462,132
2.564,1966,1658,-338
2.566,2510,2206,-778
2.569,3106,2778,-924
2.571,3742,3196,-690
2.573,4472,2944,-296
2.576,5128,2644,-266
2.578,5710,2176,-376
2.581,6060,1700,-372
2.583,5996,1272,-468
2.586,5282,908,-400
2.588,4356,736,-302
2.591,3656,660,-284
2.594,3244,530,-258
2.596,3030,478,-424
2.599,2836,354,-530
2.601,2688,256,-422
2.604,2574,646,-228
2.606,2538,838,-20
2.609,2656,242,156
2.610,2782,-136,206
2.613,2770,334,228
2.616,2652,838,316
2.618,2594,784,364
2.621,2494,1190,326
2.623,2384,1414,140
2.626,2272,1684,128
2.628,2246,1534,-108
2.631,2186,1526,-292
2.634,2134,1598,-392
2.636,2116,1642,-520
2.639,2102,1664,-626
2.641,2082,1600,-710
2.644,2076,1550,-796
2.646,2098,1416,-814
2.649,2122,1276,-762
2.650,2170,1180,-634
2.653,2238,1092,-446
2.656,2348,1062,-216
2.658,2488,1080,34
2.661,2622,1116,288
2.663,2738,1110,524
2.666,2762,1048,690
2.668,2660,964,778
2.671,2464,822,810
2.674,2186,658,802
2.676,1886,472,778
2.679,1622,334,716
2.681,1394,214,660
2.684,1214,112,604
2.686,1058,24,596
2.689,938,-114,600
2.691,854,-292,614
2.693,768,-428,616
2.696,694,-604,634
2.698,594,-670,730
