;Title, http://www.gcdataconcepts.com, X16-2 ADXL345
;Version, 1447, Build num, 0x276, Build date, 20120709 17:23:15,  SN:CCDC20160000716
;Start_time, 2012-12-19, 13:20:56.001
;Temperature, 15.00, deg C,  Vbat, 4099, mv
;Gain, 16g
;SampleRate, 400,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
1.252,10,-316,-24
1.255,14,-334,-34
1.257,0,-348,-54
1.260,-8,-362,-58
1.263,-8,-372,-50
1.265,-22,-374,-62
1.268,-22,-380,-76
1.270,-32,-378,-72
1.273,-34,-380,-74
1.275,-46,-380,-60
1.278,-44,-362,-76
1.280,-48,-366,-94
1.283,-60,-356,-86
1.284,-64,-340,-96
1.287,-56,-336,-78
1.289,-62,-330,-76
1.292,-66,-326,-82
1.295,-68,-308,-52
1.297,-60,-286,-50
1.300,-68,-256,-30
1.302,-60,-224,-10
1.305,-68,-168,12
1.307,-56,-112,34
1.310,-64,-58,42
1.312,-72,-6,64
1.315,-54,48,78
1.317,-46,116,84
1.320,-56,162,104
1.323,-42,212,120
1.325,-40,244,116
1.327,-36,266,116
1.329,-26,276,134
1.332,-14,268,136
1.334,-8,258,130
1.337,-4,244,134
1.339,6,220,158
1.342,16,172,160
1.344,6,140,164
1.347,14,122,172
1.349,18,90,176
1.352,18,90,180
1.355,14,94,194
1.357,20,104,192
1.360,4,114,188
1.362,0,122,180
1.365,-8,126,186
1.366,-16,102,164
1.369,-24,70,140
1.371,-38,18,100
1.374,-42,-56,56
1.376,-54,-144,12
1.379,-78,-278,-34
1.381,-90,-424,-86
1.384,-106,-598,-136
1.387,-136,-804,-210
1.389,-154,-1026,-260
1.392,-160,-1264,-304
1.394,-182,-1520,-346
1.397,-202,-1780,-412
1.399,-202,-2004,-444
1.402,-206,-2184,-462
1.404,-216,-2286,-448
1.406,-224,-2264,-436
1.408,-242,-2102,-428
1.411,-260,-1828,-428
1.414,-286,-1556,-422
1.416,-286,-1338,-408
1.419,-290,-1222,-406
1.421,-280,-1190,-392
1.424,-264,-1254,-390
1.426,-250,-1376,-368
1.429,-230,-1532,-362
1.431,-220,-1650,-360
1.434,-222,-1752,-384
1.436,-226,-1826,-408
1.439,-232,-1876,-452
1.441,-240,-1936,-474
1.444,-256,-1996,-514
1.447,-268,-2058,-538
1.448,-272,-2098,-564
1.451,-270,-2154,-594
1.453,-266,-2182,-618
1.456,-272,-2204,-646
1.458,-258,-2214,-662
1.461,-254,-2228,-688
1.463,-244,-2230,-714
1.466,-230,-2230,-732
1.468,-226,-2260,-756
1.471,-210,-2284,-776
1.473,-198,-2324,-810
1.476,-178,-2398,-840
1.479,-178,-2492,-864
1.481,-168,-2582,-898
1.484,-152,-2658,-902
1.486,-150,-2712,-880
1.488,-152,-2696,-862
1.490,-152,-2604,-838
1.493,-166,-2466,-818
1.495,-176,-2302,-786
1.498,-200,-2154,-744
1.500,-210,-2030,-710
1.503,-220,-1950,-664
1.505,-214,-1892,-634
1.508,-224,-1866,-638
1.511,-236,-1870,-626
1.513,-246,-1898,-616
1.516,-266,-1948,-616
1.518,-270,-1978,-618
1.521,-270,-2006,-610
1.523,-286,-1998,-614
1.526,-288,-1988,-600
1.528,-282,-1962,-594
1.530,-280,-1938,-572
1.532,-280,-1902,-560
1.535,-266,-1866,-534
1.538,-248,-1820,-526
1.540,-236,-1784,-526
1.543,-232,-1746,-512
1.545,-220,-1698,-496
1.548,-212,-1654,-484
1.550,-204,-1600,-460
1.553,-182,-1542,-438
1.555,-168,-1474,-410
1.558,-156,-1406,-396
1.560,-146,-1328,-374
1.563,-118,-1266,-344
1.565,-120,-1202,-322
1.568,-106,-1136,-310
1.570,-94,-1070,-286
1.572,-84,-1018,-234
1.575,-86,-956,-226
1.577,-68,-886,-222
1.580,-66,-836,-188
1.582,-64,-784,-192
1.585,-64,-724,-170
1.587,-54,-678,-150
1.590,-58,-626,-130
1.592,-70,-578,-98
1.595,-60,-504,-84
1.597,-62,-432,-70
1.600,-54,-354,-58
1.603,-50,-282,-62
1.605,-50,-222,-40
1.608,-50,-160,-54
1.610,-50,-112,-54
1.612,-46,-58,-72
1.614,-52,-48,-72
1.617,-52,-40,-86
1.619,-54,-54,-90
1.622,-36,-66,-94
1.624,-22,-90,-106
1.627,-14,-126,-92
1.630,-4,-150,-110
1.632,4,-182,-106
1.635,8,-184,-108
1.637,6,-184,-132
1.640,18,-180,-146
1.642,24,-180,-152
1.645,26,-188,-160
1.647,30,-192,-172
1.650,34,-206,-174
1.651,44,-216,-170
1.654,46,-222,-158
1.656,66,-220,-148
1.659,72,-212,-150
1.662,82,-188,-152
1.664,84,-162,-132
1.667,96,-150,-130
1.669,102,-118,-114
1.672,102,-96,-108
1.674,104,-72,-84
1.677,104,-42,-70
1.679,100,-4,-58
1.682,100,38,-30
1.684,104,80,-14
1.687,92,138,0
1.689,94,194,6
1.691,106,250,30
1.694,94,286,26
1.696,98,342,32
1.699,92,360,30
1.701,98,376,12
1.704,96,360,4
1.706,98,334,12
1.709,102,282,2
1.711,106,218,-10
1.714,104,154,-12
1.716,112,94,-14
1.719,112,28,-14
1.721,122,-8,-20
1.724,126,-46,-6
1.727,134,-58,8
1.729,144,-80,-8
1.732,142,-80,-22
1.733,142,-102,-38
1.736,140,-142,-60
1.738,132,-200,-88
1.741,126,-270,-108
1.743,130,-348,-128
1.746,122,-472,-154
1.748,122,-586,-200
1.751,112,-748,-248
1.754,96,-928,-290
1.756,88,-1136,-336
1.759,72,-1352,-352
1.761,54,-1576,-378
1.764,32,-1752,-386
1.766,26,-1840,-394
1.769,16,-1856,-426
1.771,-24,-1750,-452
1.773,-60,-1562,-472
1.775,-90,-1378,-476
1.778,-124,-1274,-476
1.780,-132,-1264,-500
1.783,-126,-1332,-534
1.786,-120,-1476,-548
1.788,-110,-1628,-564
1.791,-92,-1768,-578
1.793,-82,-1894,-592
1.796,-74,-2020,-626
1.798,-74,-2108,-658
1.801,-60,-2178,-672
1.803,-54,-2220,-686
1.806,-46,-2244,-716
1.808,-48,-2224,-738
1.811,-62,-2166,-740
1.813,-70,-2108,-752
1.815,-94,-2054,-768
1.818,-114,-2014,-778
1.820,-126,-2004,-796
1.823,-140,-2024,-804
1.825,-148,-2056,-834
1.828,-142,-2106,-856
1.830,-134,-2186,-896
1.833,-128,-2310,-946
1.835,-108,-2460,-984
1.838,-86,-2638,-1002
1.840,-74,-2832,-1014
1.843,-68,-2958,-1012
1.846,-70,-3006,-990
1.848,-52,-2910,-958
1.851,-30,-2664,-930
1.853,12,-2370,-860
1.855,42,-2106,-778
1.857,88,-1918,-700
1.860,130,-1806,-656
1.862,176,-1776,-616
1.865,172,-1774,-606
1.867,178,-1790,-594
1.870,178,-1814,-590
1.872,160,-1828,-602
1.875,158,-1830,-598
1.878,166,-1820,-584
1.880,158,-1806,-580
1.883,174,-1774,-568
1.885,172,-1750,-566
1.888,174,-1718,-550
1.890,184,-1678,-528
1.893,172,-1652,-516
1.894,172,-1590,-500
1.897,160,-1562,-496
1.899,150,-1512,-488
1.902,138,-1450,-474
1.904,132,-1392,-454
1.907,124,-1340,-442
1.910,102,-1282,-438
1.912,104,-1228,-412
1.915,84,-1166,-392
1.917,74,-1086,-360
1.920,70,-1014,-342
1.922,58,-924,-318
1.925,58,-828,-284
1.927,46,-740,-262
1.930,56,-642,-222
1.932,50,-548,-208
1.935,38,-466,-174
1.937,40,-384,-142
1.939,40,-302,-118
1.942,38,-240,-100
1.944,34,-166,-80
1.947,36,-104,-64
1.949,38,-44,-40
1.952,32,18,-20
1.954,32,50,-12
1.957,30,88,-28
1.959,30,102,-42
1.962,30,106,-52
1.964,30,76,-72
1.967,24,16,-88
1.970,18,-52,-110
1.972,14,-132,-148
1.975,2,-230,-180
1.976,2,-302,-202
1.979,-6,-390,-204
1.981,-14,-448,-214
1.984,-20,-492,-234
1.986,-24,-504,-220
1.989,-30,-502,-220
1.991,-38,-450,-220
1.994,-46,-380,-212
1.998,-50,-302,-200
2.000,-54,-224,-188
2.002,-62,-148,-188
2.005,-60,-92,-164
2.007,-58,-56,-162
2.010,-60,-20,-168
2.012,-60,-14,-168
2.015,-60,-16,-158
2.018,-68,-18,-140
2.020,-66,-30,-130
2.023,-60,-38,-116
2.025,-68,-38,-104
2.028,-68,-20,-88
2.030,-64,2,-80
2.033,-56,30,-56
