;Title, http://www.gcdataconcepts.com, X16-2 ADXL345
;Version, 1447, Build num, 0x276, Build date, 20120709 17:23:15,  SN:CCDC20160000714
;Start_time, 2012-11-26, 13:56:32.001
;Temperature, 23.50, deg C,  Vbat, 4085, mv
;Gain, 16g
;SampleRate, 400,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
1.255,-550,-526,774
1.258,-630,-508,712
1.260,-708,-508,638
1.263,-764,-526,536
1.265,-802,-562,430
1.268,-834,-574,338
1.270,-838,-610,274
1.273,-830,-660,202
1.276,-808,-688,110
1.281,-678,-738,-106
1.283,-498,-782,-226
1.285,-352,-902,-334
1.287,-220,-1034,-432
1.290,-100,-1090,-460
1.292,26,-1068,-470
1.295,124,-1122,-428
1.298,208,-1126,-340
1.300,280,-1108,-296
1.303,378,-1022,-280
1.305,434,-984,-278
1.308,506,-894,-292
1.310,542,-792,-312
1.313,596,-690,-328
1.315,616,-592,-360
1.318,628,-498,-294
1.321,626,-418,-260
1.323,574,-300,-232
1.325,604,-132,-224
1.327,654,-20,-212
1.330,692,106,-222
1.332,698,156,-222
1.335,742,166,-226
1.337,746,156,-276
1.340,766,116,-332
1.343,848,56,-324
1.345,934,-26,-306
1.348,1024,-132,-280
1.350,1088,-262,-242
1.353,1138,-410,-222
1.355,1142,-546,-180
1.358,1134,-642,-146
1.360,1080,-784,-116
1.363,1026,-904,-106
1.366,952,-974,-102
1.367,880,-1020,-92
1.370,834,-1066,-52
1.372,826,-1062,-18
1.375,856,-1042,-12
1.377,886,-984,8
1.380,928,-958,26
1.382,986,-894,24
1.385,1054,-866,18
1.388,1110,-910,20
1.390,1148,-996,16
1.393,1192,-1118,50
1.395,1234,-1204,120
1.398,1328,-1244,188
1.400,1434,-1334,256
1.403,1526,-1428,332
1.406,1644,-1580,440
1.407,1822,-1722,580
1.410,2028,-1948,754
1.412,2304,-2192,936
1.415,2618,-2486,1092
1.417,2988,-2894,1248
1.420,3396,-3364,1298
1.422,3770,-3790,1302
1.425,3968,-4040,1232
1.428,3922,-4042,1150
1.430,3642,-3906,1150
1.433,3202,-3680,1128
1.435,2748,-3462,1074
1.438,2236,-3262,1030
1.440,1758,-3056,974
1.443,1386,-2934,1000
1.445,1078,-2930,1064
1.447,858,-3076,1148
1.450,716,-3284,1242
1.452,672,-3544,1244
1.455,606,-3830,1132
1.457,556,-4132,988
1.460,486,-4282,738
1.462,292,-4296,452
1.465,36,-4246,202
1.467,-208,-4174,36
1.470,-408,-4088,-50
1.473,-540,-3960,-50
1.475,-578,-3808,56
1.478,-564,-3624,228
1.480,-550,-3368,370
1.483,-450,-3134,548
1.485,-16,-2834,494
1.488,350,-2732,518
1.489,448,-2608,700
1.492,348,-2460,812
1.495,122,-2348,954
1.497,-200,-2292,1148
1.500,-476,-2314,1340
1.502,-518,-2322,1564
1.505,-288,-2216,1674
1.507,98,-1956,1716
1.510,494,-1626,1746
1.512,850,-1272,1714
1.515,1114,-928,1694
1.518,1370,-580,1648
1.520,1642,-216,1736
1.523,2076,438,2610
1.525,3192,2578,5472
1.528,9314,11042,2720
1.529,14908,13774,158
1.532,11434,4114,1552
1.534,7146,-70,-178
1.537,4472,-2198,-1816
1.540,3028,-3758,-1972
1.542,2164,-3462,-1938
1.545,1204,-2200,-2052
1.547,196,-1600,-1496
1.550,-784,-1892,-476
1.552,-1986,-2958,734
1.555,-3332,-4164,1392
1.558,-4146,-4864,1312
1.560,-4060,-4748,1130
1.563,-3168,-3430,814
1.565,-2402,-1938,336
1.568,-2322,-524,12
1.569,-2204,88,360
1.572,-1712,-78,850
1.574,-964,-402,1036
1.577,-262,-500,868
1.580,340,-522,682
1.582,790,-818,624
1.585,1052,-1098,622
1.587,1162,-1330,542
1.590,1156,-1542,464
1.592,1158,-1752,456
1.595,1112,-1904,618
1.597,1204,-2052,746
1.600,1424,-2312,940
1.603,1660,-2642,896
1.605,1798,-2710,664
1.608,1890,-2668,316
1.610,1804,-2568,142
1.612,1642,-2554,154
1.614,1438,-2472,282
1.617,1282,-2182,458
1.619,1204,-1798,684
1.622,1178,-1448,844
1.625,1146,-1164,968
1.627,1142,-952,1072
1.630,1128,-810,1182
1.632,1218,-834,1254
1.635,1380,-898,1246
1.637,1484,-736,1258
1.640,1556,-582,1254
1.642,1690,-566,1232
1.645,1776,-524,1148
1.648,1816,-458,1054
1.650,1944,-552,1004
1.652,2072,-654,920
1.654,2200,-726,876
1.657,2308,-810,856
1.659,2384,-944,838
1.662,2476,-1070,816
1.664,2552,-1188,794
1.667,2618,-1270,764
1.670,2668,-1334,744
1.672,2682,-1330,750
1.675,2688,-1260,756
1.677,2652,-1106,810
1.680,2622,-912,884
1.682,2574,-684,968
1.685,2576,-472,1038
1.688,2582,-246,1134
1.690,2604,-72,1290
1.692,2640,88,1410
1.694,2704,234,1502
1.697,2764,350,1502
1.699,2798,426,1444
1.702,2810,486,1362
1.704,2808,502,1250
1.707,2812,508,1148
1.710,2838,510,1026
1.712,2844,522,944
1.715,2856,512,848
1.717,2892,506,772
1.720,2882,524,732
1.722,2834,570,698
1.725,2728,622,652
1.727,2560,664,556
1.730,2346,786,500
1.732,2112,906,400
1.734,1910,1012,296
1.737,1718,1118,206
1.739,1550,1182,106
1.742,1430,1258,32
1.744,1308,1390,2
1.747,1200,1514,32
1.749,1076,1692,70
1.752,960,1840,190
1.755,880,1960,288
1.757,812,2064,438
1.760,726,2150,590
1.762,610,2224,706
1.765,376,2286,816
1.767,170,2212,804
1.770,28,2092,818
1.772,-84,2076,748
1.774,-186,2014,700
1.777,-226,1932,576
1.779,-102,1660,448
1.782,128,1354,400
1.784,292,1124,436
1.787,442,898,422
1.789,552,642,356
1.792,650,540,274
1.794,762,362,254
1.797,910,350,164
